l,categoryLabel,word
http://www.wikidata.org/entity/L21392,verbe,concéder
http://www.wikidata.org/entity/L24221,verbe,abattre
http://www.wikidata.org/entity/L26155,verbe,isoler
http://www.wikidata.org/entity/L27341,verbe,exploser
http://www.wikidata.org/entity/L27356,verbe,démontrer
http://www.wikidata.org/entity/L27364,verbe,décerner
http://www.wikidata.org/entity/L27391,verbe,contempler
http://www.wikidata.org/entity/L27402,verbe,photographier
http://www.wikidata.org/entity/L28579,verbe,blanchir
http://www.wikidata.org/entity/L28619,verbe,griller
http://www.wikidata.org/entity/L9114,verbe,partager
http://www.wikidata.org/entity/L9136,verbe,arriver
http://www.wikidata.org/entity/L9183,verbe,reprendre
http://www.wikidata.org/entity/L9185,verbe,recevoir
http://www.wikidata.org/entity/L9219,verbe,causer
http://www.wikidata.org/entity/L9249,verbe,tarir
http://www.wikidata.org/entity/L9253,verbe,rester
http://www.wikidata.org/entity/L9272,verbe,frapper
http://www.wikidata.org/entity/L9351,verbe,travailler
http://www.wikidata.org/entity/L9361,verbe,paraître
http://www.wikidata.org/entity/L9363,verbe,achever
http://www.wikidata.org/entity/L2379,préposition,de
http://www.wikidata.org/entity/L9441,locution verbale,avoir besoin de
http://www.wikidata.org/entity/L46027,nom,algérien
http://www.wikidata.org/entity/L5133,verbe,dormir
http://www.wikidata.org/entity/L309,verbe,manger
http://www.wikidata.org/entity/L5134,verbe,donner
http://www.wikidata.org/entity/L9442,numéral,vingt
http://www.wikidata.org/entity/L9280,adjectif,excessif
http://www.wikidata.org/entity/L9171,numéral,cinq
http://www.wikidata.org/entity/L9266,adverbe,excessivement
http://www.wikidata.org/entity/L9393,numéral,vingt-cinq
http://www.wikidata.org/entity/L22420,adjectif,contractant
http://www.wikidata.org/entity/L22500,adjectif,substantiel
http://www.wikidata.org/entity/L22535,adjectif,arable
http://www.wikidata.org/entity/L22539,adjectif,usagé
http://www.wikidata.org/entity/L22746,adjectif,congolais
http://www.wikidata.org/entity/L22763,adjectif,indien
http://www.wikidata.org/entity/L23169,adjectif,saudi
http://www.wikidata.org/entity/L23201,adjectif,strict
http://www.wikidata.org/entity/L23854,adjectif,symétrique
http://www.wikidata.org/entity/L22428,adverbe,ci-dessous
http://www.wikidata.org/entity/L23665,adverbe,sélectivement
http://www.wikidata.org/entity/L23666,adverbe,impérativement
http://www.wikidata.org/entity/L23667,adverbe,systématiquement
http://www.wikidata.org/entity/L23670,adverbe,mécaniquement
http://www.wikidata.org/entity/L23677,adverbe,grossièrement
http://www.wikidata.org/entity/L23684,adverbe,sensiblement
http://www.wikidata.org/entity/L24073,adverbe,ironiquement
http://www.wikidata.org/entity/L24445,adverbe,diaboliquement
http://www.wikidata.org/entity/L24446,adverbe,carrément
http://www.wikidata.org/entity/L2330,nom,tour
http://www.wikidata.org/entity/L2332,nom,tour
http://www.wikidata.org/entity/L23872,nom,mont
http://www.wikidata.org/entity/L24543,nom,baron
http://www.wikidata.org/entity/L23799,nom,corrosion
http://www.wikidata.org/entity/L23868,nom,pic
http://www.wikidata.org/entity/L24271,nom,coke
http://www.wikidata.org/entity/L24477,nom,migrateur
http://www.wikidata.org/entity/L24504,nom,comptoir
http://www.wikidata.org/entity/L24274,nom,aube
http://www.wikidata.org/entity/L24170,nom,brigade
http://www.wikidata.org/entity/L24263,nom,nef
http://www.wikidata.org/entity/L23756,nom,maturation
http://www.wikidata.org/entity/L23210,nom,assise
http://www.wikidata.org/entity/L23758,nom,infiltration
http://www.wikidata.org/entity/L24180,nom,africain
http://www.wikidata.org/entity/L23867,nom,cap
http://www.wikidata.org/entity/L24182,nom,fugue
http://www.wikidata.org/entity/L24272,nom,baie
